acc_x,acc_y,acc_z
-0.018149,0.022427,9.820824
-0.016988,0.023158,9.820870
-0.017917,0.022449,9.821578
-0.017450,0.022133,9.820588
-0.016466,0.021618,9.822227
-0.017371,0.022539,9.820814
-0.017558,0.021521,9.821393
-0.017266,0.021465,9.820748
-0.016382,0.022418,9.821871
-0.017032,0.021474,9.821871
-0.017813,0.020855,9.820582
-0.015866,0.022395,9.820819
-0.017455,0.021582,9.820424
-0.018196,0.021277,9.820825
-0.016055,0.022218,9.821791
-0.016005,0.020872,9.821653
-0.017784,0.021508,9.821750
-0.017266,0.021236,9.821648
-0.017921,0.021493,9.821395
-0.016587,0.020550,9.821440
-0.016658,0.021346,9.822214
-0.017019,0.020712,9.821955
-0.016465,0.020920,9.821166
-0.016670,0.020981,9.821925
-0.016033,0.020584,9.821133
-0.017370,0.019965,9.820692
-0.017556,0.021916,9.821799
-0.016947,0.020383,9.821653
-0.016592,0.019433,9.821710
-0.017282,0.021016,9.822992
-0.016177,0.019454,9.820684
-0.016660,0.018975,9.821217
-0.017437,0.020148,9.822063
-0.016393,0.019799,9.822734
-0.016941,0.019721,9.821410
-0.016667,0.019438,9.821939
-0.015595,0.020111,9.821507
-0.016922,0.020712,9.821736
-0.018426,0.019370,9.821717
-0.015667,0.019303,9.822704
-0.015554,0.020658,9.820818
-0.017089,0.019669,9.821548
-0.017851,0.020214,9.821955
-0.016533,0.019377,9.820511
-0.016511,0.020055,9.821569
-0.015965,0.020017,9.821555
-0.015996,0.019325,9.821053
-0.016722,0.019598,9.820977
-0.016094,0.018493,9.821335
-0.015838,0.020007,9.821660
-0.017019,0.020544,9.821169
-0.016139,0.019043,9.821604
-0.016534,0.019589,9.821030
-0.016141,0.018898,9.820598
-0.016699,0.018600,9.821802
-0.015744,0.019214,9.822225
-0.016270,0.018629,9.821827
-0.016253,0.017912,9.821760
-0.016561,0.018937,9.821965
-0.015781,0.017086,9.822215
-0.015235,0.017545,9.822439
-0.017180,0.018681,9.822943
-0.015497,0.018309,9.822360
-0.015237,0.016746,9.820987
-0.015905,0.019174,9.822678
-0.017533,0.017938,9.822288
-0.016100,0.017797,9.821276
-0.015432,0.016941,9.823095
-0.017713,0.017745,9.822035
-0.014921,0.019048,9.822801
-0.015379,0.017697,9.822490
-0.016434,0.016711,9.821465
-0.016976,0.017709,9.822346
-0.014894,0.017689,9.823576
-0.013398,0.018214,9.822659
-0.017021,0.017394,9.823013
-0.016435,0.017401,9.823367
-0.014759,0.017368,9.821906
-0.015052,0.017477,9.821281
-0.016621,0.017128,9.822526
-0.015575,0.017453,9.822762
-0.015586,0.017307,9.821820
-0.014637,0.016996,9.822304
-0.016179,0.017426,9.822405
-0.015232,0.016708,9.822731
-0.015537,0.016969,9.821724
-0.015581,0.016255,9.822781
-0.015449,0.016863,9.822521
-0.014286,0.017336,9.821742
-0.015524,0.016219,9.821663
